"DATA_ATIVACAO";"NUN_NTC";"TIPO_OPERACAO";"PLANO";"COD_MOBILE";"MES_REFERENCIA";"VALIDO_COMISSAO";"VALOR_COMISSAO";"COD_IRREG";"ARQUIVO";"DATA_ESTORNO";"PENDENCIA";"VALOR_FRANQUIA";"SIMCARD";"COD_QUINZENA";"STATUS_GED";"NTC_ANTERIOR";"PLANO_ANTERIOR";"NUM_CHAMADO";"CONTRATO_EBT_NET";"CLASSIFICACAO_PGTO";"FRANQUIA_ANTERIOR";"VALOR_DELTA";"VALOR_FATOR";"DAT_DIGITALIZACAO";"DSC_NOME_PLANO";"NUM_FI"
"2023-11-09 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202311";"t";"304,21";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"086366883500";"ULTRA";"";"";"2,9";"";"BL 250M SINGLE OU C/ FONE FID";"170053293"
"2023-11-04 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 500 MB";"CLRZ";"202311";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"593001010914";"ULTRA";"";"";"3";"";"BL 500M SINGLE OU C/ FONE BWF PON FID";"170053293"
"2023-11-04 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202311";"t";"304,21";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"086366880315";"ULTRA";"";"";"2,9";"";"BL 250M SINGLE OU C/ FONE FID";"170053293"
"2023-05-05 00:00:00";"0";"ESTORNO REFERENTE 09/2023 P1";"VIRTUA 250 MB";"CLRZ";"202311";"t";"-285,33";"0";"INAD_1_60_OK";"";"OK";"0";"''";"P1";"AUDIO_CONEXAO";"";"";"";"086366757912";"ULTRA";"";"";"3,4";"";"BL 250M SINGLE OU C/ FONE FID";"170053293"
"2023-04-19 00:00:00";"0";"ESTORNO REFERENTE 09/2023 P1";"VIRTUA 500 MB";"CLRZ";"202311";"t";"-339,73";"0";"INAD_1_60_OK";"";"OK";"0";"''";"P1";"AUDIO_CONEXAO";"";"";"";"091380400729";"ULTRA";"";"";"3,4";"";"BL 500M SINGLE OU C/ FONE FID";"170053293"
"2023-07-24 00:00:00";"0";"ESTORNO";"VIRTUA 500 MB";"CLRZ";"202311";"t";"-157,35";"0";"CANCELAMENTO 120 DIAS";"";"OK";"0";"''";"P1";"AUDIO_CONEXAO";"";"";"";"213001124203";"ULTRA";"";"";"3";"";"BL 500M SINGLE OU C/ FONE BWF PON FID";"170053293"
"2023-07-17 00:00:00";"0";"ESTORNO";"VIRTUA 500 MB";"CLRZ";"202311";"t";"-157,34";"0";"CANCELAMENTO 120 DIAS";"";"OK";"0";"''";"P1";"AUDIO_CONEXAO";"";"";"";"091380420037";"ULTRA";"";"";"3";"";"BL 500M SINGLE OU C/ FONE AQS BS FID";"170053293"
"2023-11-07 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 600 MB";"CLRZ";"202311";"t";"304,21";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"868001084178";"ULTRA";"";"";"2,9";"";"BL 500M EMP PME CNPJ PON FID";"170053293"
"2023-11-06 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202311";"t";"304,21";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"203001362346";"ULTRA";"";"";"2,9";"";"BL 250M SINGLE OU C/ FONE BWF PON FID";"170053293"
"2023-11-06 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 350 MB";"CLRZ";"202311";"t";"304,21";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"203001362338";"ULTRA";"";"";"2,9";"";"BL 350M SINGLE OU C/ FONE BWF PON FID";"170053293"
"2023-11-08 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 500 MB";"CLRZ";"202311";"t";"420,21";"0";"FT_COMISSIONAMENTO";"";"OK";"144.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"086366882040";"ULTRA";"";"";"2,9";"";"BL 500M SINGLE OU C/ FONE BWF PON FID";"170053293"
"2023-11-04 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202311";"t";"314,67";"0";"FT_COMISSIONAMENTO";"";"OK";"104.89";"''";"P1";"AUDIO_CONEXAO";"";"";"";"093301461451";"ULTRA";"";"";"3";"";"BL 250M AQS BS FID";"170053293"
"2023-11-01 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 125 MB";"CLRZ";"202311";"t";"246,18";"0";"FT_COMISSIONAMENTO";"";"OK";"84.89";"''";"P1";"AUDIO_CONEXAO";"";"";"";"996375230338";"ULTRA";"";"";"2,9";"";"BL 125M AQS BS FID";"170053293"
"2023-11-11 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202311";"t";"314,67";"0";"FT_COMISSIONAMENTO";"";"OK";"104.89";"''";"P1";"AUDIO_CONEXAO";"";"";"";"093301461796";"ULTRA";"";"";"3";"";"BL 250M AQS BS FID";"170053293"
"2023-11-04 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 500 MB";"CLRZ";"202311";"t";"304,21";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"531010608320";"ULTRA";"";"";"2,9";"";"BL 500M SINGLE OU C/ FONE FID";"170053293"
"2023-01-19 00:00:00";"0";"ESTORNO REFERENTE 09/2023 P1";"VIRTUA 250 MB";"CLRZ";"202311";"t";"-188,82";"0";"INAD_2_60_OK";"";"OK";"0";"''";"P1";"AUDIO_CONEXAO";"";"";"";"088624565333";"ULTRA";"";"";"3";"";"BL 250M SINGLE OU C/ FONE FID";"170053293"
"2023-04-08 00:00:00";"0";"ESTORNO REFERENTE 09/2023 P1";"VIRTUA 250 MB";"CLRZ";"202311";"t";"-214";"0";"INAD_2_60_OK";"";"OK";"0";"''";"P1";"AUDIO_CONEXAO";"";"";"";"093301452126";"ULTRA";"";"";"3,4";"";"BL 250M SINGLE OU C/ FONE FID";"170053293"
"2023-07-12 00:00:00";"0";"ESTORNO";"VIRTUA 500 MB";"CLRZ";"202311";"t";"-157,35";"0";"CANCELAMENTO 120 DIAS";"";"OK";"0";"''";"P1";"AUDIO_CONEXAO";"";"";"";"089341551200";"ULTRA";"";"";"3";"";"BL 500M SINGLE OU C/ FONE BWF PON FID";"170053293"
"2023-11-07 00:00:00";"0";"TROCA DE PLANO UR";"EQUIVALENCIA DE PLANO UR";"CLRZ";"202311";"f";"0";"30";"FT_COMISSIONAMENTO";"";"ATIVACAO REALIZADA DENTRO DE 45 DIAS";"0";"''";"P1";"SIM - DOC SOLAR";"";"";"";"749001474058";"ULTRA";"104,9";"0";"2,6";"";"BL 500M COMBINADO BWF PON FID";""
"2023-11-13 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 350 MB";"CLRZ";"202311";"t";"374,67";"0";"FT_COMISSIONAMENTO";"";"OK";"124.89";"''";"P1";"AUDIO_CONEXAO";"";"";"";"093301461737";"ULTRA";"";"";"3";"";"BL 350M SINGLE/ FONE AQS BS FID";"170053293"
"2023-11-04 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 500 MB";"CLRZ";"202311";"t";"420,21";"0";"FT_COMISSIONAMENTO";"";"OK";"144.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"996375231270";"ULTRA";"";"";"2,9";"";"BL 500M SINGLE OU C/ FONE FID";"170053293"
"2023-11-03 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 500 MB";"CLRZ";"202311";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"819001028420";"ULTRA";"";"";"3";"";"BL 500M SINGLE OU C/ FONE BWF PON FID";"170053293"
"2023-11-03 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 500 MB";"CLRZ";"202311";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"113001020632";"ULTRA";"";"";"3";"";"BL 500M SINGLE OU C/ FONE BWF PON FID";"170053293"
"2023-11-06 00:00:00";"0";"TV";"CLARO TV MAIS BOX";"CLRZ";"202311";"t";"293,72";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"996375073402";"ULTRA";"";"";"2,8";"";"CLARO STREAMING HD TVMAIS TOP VOZ FID";"170053293"
"2023-11-06 00:00:00";"0";"TV";"CLARO TV MAIS BOX";"CLRZ";"202311";"t";"293,72";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"996374918450";"ULTRA";"";"";"2,8";"";"CLARO STREAMING HD TVMAIS TOP VOZ FID";"170053293"
"2023-11-04 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 500 MB";"CLRZ";"202311";"t";"304,21";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"749001474058";"ULTRA";"";"";"2,9";"";"BL 500M SINGLE OU C/ FONE BWF PON FID";"170053293"
"2023-10-02 00:00:00";"0";"ESTORNO";"VIRTUA 125 MB";"CLRZ";"202311";"t";"-196,94";"0";"CANCELAMENTO 60 DIAS";"";"OK";"0";"''";"P1";"AUDIO_CONEXAO";"";"";"";"996375218508";"ULTRA";"";"";"2,9";"";"BL 125M AQS BS FID";"170053293"
"2023-04-14 00:00:00";"0";"ESTORNO REFERENTE 09/2023 P1";"VIRTUA 250 MB";"CLRZ";"202311";"t";"-214";"0";"INAD_2_60_OK";"";"OK";"0";"''";"P1";"AUDIO_CONEXAO";"";"";"";"996375147686";"ULTRA";"";"";"3,4";"";"BL 250M SINGLE OU C/ FONE FID";"170053293"
"2023-06-16 00:00:00";"45988392453";"ESTORNO REFERENTE 09/2023 P1";"MIGRA PRE PARA POS - PLANO CONTROLE MAIS 13GB COMBO - CF - CM";"CLRZ";"202311";"t";"-122,98";"0";"MIGOUT_1_MOBILE_60_OK";"2023-09-11 00:00:00";"OK";"0";"'89550534970221328146'";"P1";"AUDIO_CONEXAO";"";"";"";"506001001451";"ULTRA";"";"";"2,8";"";"";"114063272"
"2023-06-16 00:00:00";"45988392453";"ESTORNO REFERENTE 09/2023 P1";"BONUS META PAP INDIRETO";"CLRZ";"202311";"t";"-8,78";"0";"MIGOUT_1_MOBILE_60_OK";"2023-09-11 00:00:00";"OK";"0";"''";"P1";"AUDIO_CONEXAO";"";"";"";"506001001451";"ULTRA";"";"";",2";"";"";"114063272"
"2023-06-16 00:00:00";"45988392453";"ESTORNO REFERENTE 09/2023 P1";"PLUGIN COMBO MULTI";"CLRZ";"202311";"t";"-15,37";"0";"MIGOUT_1_MOBILE_60_OK";"2023-09-11 00:00:00";"OK";"0";"''";"P1";"AUDIO_CONEXAO";"";"";"";"506001001451";"ULTRA";"";"";",35";"";"";"114063272"
"2023-11-10 00:00:00";"0";"FONE FIXO";"FALE ILIMITADO BRASIL TOTAL";"CLRZ";"202311";"t";"87";"0";"FT_COMISSIONAMENTO";"";"OK";"30";"''";"P1";"AUDIO_CONEXAO";"";"";"";"213001135531";"ULTRA";"";"";"2,9";"";"FONE ILIM BR TOT BWF PON04";"170046684"
