"DATA_ATIVACAO";"NUN_NTC";"TIPO_OPERACAO";"PLANO";"COD_MOBILE";"MES_REFERENCIA";"VALIDO_COMISSAO";"VALOR_COMISSAO";"COD_IRREG";"ARQUIVO";"DATA_ESTORNO";"PENDENCIA";"VALOR_FRANQUIA";"SIMCARD";"COD_QUINZENA";"STATUS_GED";"NTC_ANTERIOR";"PLANO_ANTERIOR";"NUM_CHAMADO";"CONTRATO_EBT_NET";"CLASSIFICACAO_PGTO";"FRANQUIA_ANTERIOR";"VALOR_DELTA";"VALOR_FATOR";"DAT_DIGITALIZACAO";"DSC_NOME_PLANO";"NUM_FI"
"2023-06-26 00:00:00";"0";"ESTORNO";"VIRTUA 125 MB";"CLRZ";"202310";"t";"-127,35";"0";"CANCELAMENTO 120 DIAS";"";"OK";"0";"''";"P1";"AUDIO_CONEXAO";"";"";"";"091380414762";"ULTRA";"";"";"3";"";"BL 125M SINGLE OU C/ FONE FID";"170050336"
"2023-06-09 00:00:00";"0";"ESTORNO";"VIRTUA 125 MB";"CLRZ";"202310";"t";"-123,1";"0";"CANCELAMENTO 120 DIAS";"";"OK";"0";"''";"P1";"AUDIO_CONEXAO";"";"";"";"996375170025";"ULTRA";"";"";"2,9";"";"BL 125M SINGLE OU C/ FONE FID";"170050336"
"2023-10-05 00:00:00";"0";"COMISSOES ADICIONAIS";"PLUGIN COMBO MULTI UR";"CLRZ";"202310";"t";"36,71";"0";"PLUGIN COMBO MULTI UR";"";"OK";"104.9";"''";"P1";"";"";"";"";"086366862090";"ULTRA";"";"";",35";"";"CLARO TV MAIS BOX";"170050336"
"2023-06-17 00:00:00";"0";"ESTORNO";"VIRTUA 250 MB";"CLRZ";"202310";"t";"-152,1";"0";"CANCELAMENTO 120 DIAS";"";"OK";"0";"''";"P1";"AUDIO_CONEXAO";"";"";"";"996375170521";"ULTRA";"";"";"2,9";"";"BL 250M SINGLE OU C/ FONE FID";"170050336"
"2023-09-28 00:00:00";"0";"COMISSOES ADICIONAIS";"PLUGIN COMBO MULTI UR";"CLRZ";"202310";"t";"36,71";"0";"PLUGIN COMBO MULTI UR";"";"OK";"104.9";"''";"P1";"";"";"";"";"086366858255";"ULTRA";"";"";",35";"";"VIRTUA 250 MB";"170050336"
"2023-10-11 00:00:00";"47999164781";"COMISSOES ADICIONAIS";"PLUGIN COMBO MULTI";"CLRZ";"202310";"t";"19,21";"0";"PLUGIN COMBO MULTI";"";"OK";"54.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"086366862090";"ULTRA";"";"";",35";"";"PLANO CONTROLE MAIS 13GB COMBO - CF";"114059302"
"2023-03-31 00:00:00";"0";"ESTORNO REFERENTE 08/2023 P1";"VIRTUA 125 MB";"CLRZ";"202310";"t";"-203,76";"0";"INAD_1_60_OK";"";"OK";"0";"''";"P1";"AUDIO_CONEXAO";"";"";"";"996375142455";"ULTRA";"";"";"3";"";"BL 125M SINGLE OU C/ FONE FID";"170050336"
"2023-02-03 00:00:00";"0";"ESTORNO REFERENTE 08/2023 P1";"VIRTUA 250 MB";"CLRZ";"202310";"t";"-142,35";"0";"INAD_3_60_OK";"";"OK";"0";"''";"P1";"AUDIO_CONEXAO";"";"";"";"570001040732";"ULTRA";"";"";"3";"";"BL 250M SINGLE OU C/ FONE BWF PON FID";"170050336"
"2023-10-05 00:00:00";"0";"COMISSOES ADICIONAIS";"PLUGIN COMBO MULTI UR";"CLRZ";"202310";"t";"10,5";"0";"PLUGIN COMBO MULTI UR";"";"OK";"30";"''";"P1";"";"";"";"";"086366862090";"ULTRA";"";"";",35";"";"CLARO BOX TV";"170050336"
"2023-03-15 00:00:00";"0";"ESTORNO REFERENTE 08/2023 P1";"VIRTUA 125 MB";"CLRZ";"202310";"t";"-152,82";"0";"INAD_2_60_OK";"";"OK";"0";"''";"P1";"AUDIO_CONEXAO";"";"";"";"089341529345";"ULTRA";"";"";"3";"";"BL 125M SINGLE OU C/ FONE BWF PON FID";"170050336"
