DATA_ATIVACAO;NUN_NTC;TIPO_OPERACAO;PLANO;COD_MOBILE;MES_REFERENCIA;VALIDO_COMISSAO;VALOR_COMISSAO;COD_IRREG;ARQUIVO;DATA_ESTORNO;PENDENCIA;VALOR_FRANQUIA;SIMCARD;COD_QUINZENA;STATUS_GED;NTC_ANTERIOR;PLANO_ANTERIOR;NUM_CHAMADO;CONTRATO_EBT_NET;CLASSIFICACAO_PGTO;FRANQUIA_ANTERIOR;VALOR_DELTA;VALOR_FATOR;DAT_DIGITALIZACAO;DSC_NOME_PLANO;;;;;
28/02/2023 00:00;48988352866;COMISSOES ADICIONAIS;PLUGIN COMBO MULTI;CLRZ;202302;t;17,46;0;PLUGIN COMBO MULTI;;OK;49.9;'';P2;AUDIO_CONEXAO;;;;89341525900;PREMIUM;;;0,35;;PLANO CONTROLE MAIS 13GB COMBO - CF;;;;;#N/D
28/02/2023 00:00;0;COMISSOES ADICIONAIS;PLUGIN COMBO MULTI UR;CLRZ;202302;t;36,71;0;PLUGIN COMBO MULTI UR;;OK;104.9;'';P2;;;;;89341525900;PREMIUM;;;0,35;;VIRTUA 350 MB;;;;;#N/D
02/12/2022 00:00;0;ESTORNO;VIRTUA 250 MB;CLRZ;202302;t;-179,82;0;CANCELAMENTO 90 DIAS;;OK;0;'';P2;AUDIO_CONEXAO;;;;89341515328;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE FID;;;;;#N/D
27/02/2023 00:00;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202302;t;314,7;0;FT_COMISSIONAMENTO;;OK;104.9;'';P2;AUDIO_CONEXAO;;;;9,96375E+11;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE FID;;;;;9,96375E+11
27/02/2023 00:00;0;BANDA LARGA FIXA;VIRTUA 125 MB;CLRZ;202302;t;254,67;0;FT_COMISSIONAMENTO;;OK;84.89;'';P2;AUDIO_CONEXAO;;;;9,96375E+11;PREMIUM;;;3;;BL 125M AQS BS FID;;;;;9,96375E+11
26/02/2023 00:00;0;BANDA LARGA FIXA;VIRTUA 125 MB;CLRZ;202302;t;254,7;0;FT_COMISSIONAMENTO;;OK;84.9;'';P2;AUDIO_CONEXAO;;;;3,63003E+11;PREMIUM;;;3;;BL 125M SINGLE OU C/ FONE FID;;;;;#N/D
18/02/2023 00:00;0;BANDA LARGA FIXA;VIRTUA 300 MB;CLRZ;202302;t;345;0;FT_COMISSIONAMENTO;;OK;115;'';P2;AUDIO_CONEXAO;;;;2,03001E+11;PREMIUM;;;3;;BL 300M EMP PME C/CEL OU FONE PJ PON FID;;;;;#N/D
18/02/2023 00:00;0;FONE FIXO;FALE ILIMITADO BRASIL;CLRZ;202302;t;60;0;FT_COMISSIONAMENTO;;OK;20;'';P2;AUDIO_CONEXAO;;;;2,03001E+11;PREMIUM;;;3;;EMPRESAS PON BWF;;;;;#N/D
27/02/2023 00:00;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202302;t;314,7;0;FT_COMISSIONAMENTO;;OK;104.9;'';P2;AUDIO_CONEXAO;;;;9,96375E+11;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE FID;;;;;9,96375E+11
04/02/2023 00:00;0;AGREGADOS;EXTENSOR WI-FI MESH;CLRZ;202302;f;0;95;FT_COMISSIONAMENTO;;SEM DOCUMENTACAO;10;'';P2;;;;;8,84623E+11;PREMIUM;;;;;WIFI MESH;;;;;8,84623E+11
