DATA_ATIVACAO;NUN_NTC;TIPO_OPERACAO;PLANO;COD_MOBILE;MES_REFERENCIA;VALIDO_COMISSAO;VALOR_COMISSAO;COD_IRREG;ARQUIVO;DATA_ESTORNO;PENDENCIA;VALOR_FRANQUIA;SIMCARD;COD_QUINZENA;STATUS_GED;NTC_ANTERIOR;PLANO_ANTERIOR;NUM_CHAMADO;CONTRATO_EBT_NET;CLASSIFICACAO_PGTO;FRANQUIA_ANTERIOR;VALOR_DELTA;VALOR_FATOR;DAT_DIGITALIZACAO;DSC_NOME_PLANO;NUM_FI
10/06/2023 00:00;0;ESTORNO;VIRTUA 500 MB;CLRZ;202309;t;-157,35;0;CANCELAMENTO 120 DIAS;;OK;0;'';P2;AUDIO_CONEXAO;;;;89341545120;ULTRA;;;3;;BL 500M SINGLE OU C/ FONE FID;170048859
27/02/2023 00:00;0;ESTORNO REFERENTE 07/2023 P2;VIRTUA 600 MB;CLRZ;202309;t;-202,5;0;INAD_3_60_OK;;OK;0;'';P2;AUDIO_CONEXAO;;;;9,96375E+11;ULTRA;;;3;;BL 600M EMP PME CNPJ FID;170048859
22/09/2023 00:00;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202309;t;304,21;0;FT_COMISSIONAMENTO;;OK;104.9;'';P2;AUDIO_CONEXAO;;;;86366854462;ULTRA;;;2,9;;BL 250M SINGLE OU C/ FONE BWF PON FID;170048859
14/09/2023 00:00;0;ESTORNO;VIRTUA 350 MB;CLRZ;202309;t;-304,21;0;CARROSSEL;;OK;0;'';P2;AUDIO_CONEXAO;;;;2,78002E+11;ULTRA;;;2,9;;BL 350M COMBINADO FID;170048859
21/09/2023 00:00;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202309;t;304,18;0;FT_COMISSIONAMENTO;;OK;104.89;'';P2;AUDIO_CONEXAO;;;;9,96375E+11;ULTRA;;;2,9;;BL 250M AQS BS FID;170048859
21/09/2023 00:00;0;BANDA LARGA FIXA;VIRTUA 350 MB;CLRZ;202309;t;304,21;0;FT_COMISSIONAMENTO;;OK;104.9;'';P2;AUDIO_CONEXAO;;;;3,79001E+11;ULTRA;;;2,9;;BL 350M SINGLE OU C/ FONE BWF PON FID;170048859
14/06/2023 00:00;0;ESTORNO;VIRTUA 125 MB;CLRZ;202309;t;-123,1;0;CANCELAMENTO 120 DIAS;;OK;0;'';P2;AUDIO_CONEXAO;;;;9,96375E+11;ULTRA;;;2,9;;BL 125M COMBINADO FID;170048859
26/05/2023 00:00;0;ESTORNO;VIRTUA 125 MB;CLRZ;202309;t;-144,33;0;CANCELAMENTO 120 DIAS;;OK;0;'';P2;AUDIO_CONEXAO;;;;3,79001E+11;ULTRA;;;3,4;;BL 125M SINGLE OU C/ FONE BWF PON FID;170048859
24/05/2023 00:00;0;ESTORNO;VIRTUA 250 MB;CLRZ;202309;t;-178,33;0;CANCELAMENTO 120 DIAS;;OK;0;'';P2;AUDIO_CONEXAO;;;;2,04001E+11;ULTRA;;;3,4;;BL 250M SINGLE OU C/ FONE BWF PON FID;170048859
17/03/2023 00:00;0;ESTORNO REFERENTE 07/2023 P2;VIRTUA 250 MB;CLRZ;202309;t;-142,35;0;INAD_3_60_OK;;OK;0;'';P2;AUDIO_CONEXAO;;;;7,24001E+11;ULTRA;;;3;;BL 250M SINGLE OU C/ FONE BWF PON FID;170048859
20/09/2023 00:00;0;BANDA LARGA FIXA;VIRTUA 500 MB;CLRZ;202309;t;314,67;0;FT_COMISSIONAMENTO;;OK;104.89;'';P2;AUDIO_CONEXAO;;;;68001169045;ULTRA;;;3;;BL 500M SINGLE/FONE AQS BS BWF PON FID;170048859
26/08/2023 00:00;0;ESTORNO;BONUS META PAP INDIRETO;CLRZ;202309;t;-42,45;0;CARROSSEL;;OK;0;'';P2;AUDIO_CONEXAO;;;;2,78002E+11;ULTRA;;;0,5;;VIRTUA 125 MB;170048859
11/09/2023 00:00;0;ESTORNO;VIRTUA 250 MB;CLRZ;202309;t;-304,21;0;CARROSSEL;;OK;0;'';P2;AUDIO_CONEXAO;;;;86366846508;ULTRA;;;2,9;;BL 250M SINGLE OU C/ FONE BWF PON FID;170048859
26/08/2023 00:00;0;ESTORNO;CLARO TV MAIS BOX;CLRZ;202309;t;-293,72;0;CARROSSEL;;OK;0;'';P2;AUDIO_CONEXAO;;;;2,78002E+11;ULTRA;;;2,8;;CLARO STREAMING HD TVMAIS TOP VOZ FID;170048859
