DATA_ATIVACAO;NUN_NTC;TIPO_OPERACAO;PLANO;COD_MOBILE;MES_REFERENCIA;VALIDO_COMISSAO;VALOR_COMISSAO;COD_IRREG;ARQUIVO;DATA_ESTORNO;PENDENCIA;VALOR_FRANQUIA;SIMCARD;COD_QUINZENA;STATUS_GED;NTC_ANTERIOR;PLANO_ANTERIOR;NUM_CHAMADO;CONTRATO_EBT_NET;CLASSIFICACAO_PGTO;FRANQUIA_ANTERIOR;VALOR_DELTA;VALOR_FATOR;DAT_DIGITALIZACAO;DSC_NOME_PLANO
13/01/2023 00:00;0;FONE FIXO;FALE ILIMITADO BRASIL TOTAL;CLRZ;202301;t;90;0;FT_COMISSIONAMENTO;;OK;30;'';P1;AUDIO_CONEXAO;;;;86366579879;PREMIUM;;;3;;FONE ILIM BR TOTAL 30.00
12/01/2023 00:00;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;t;314,7;0;FT_COMISSIONAMENTO;;OK;104.9;'';P1;AUDIO_CONEXAO;;;;86366651219;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE BWF PON FID
05/01/2023 00:00;0;FONE FIXO;FALE ILIMITADO BRASIL TOTAL;CLRZ;202301;f;0;407;FT_COMISSIONAMENTO;;PRODUTO GRATUITO;0;'';P1;AUDIO_CONEXAO;;;;86366651260;PREMIUM;;;3;;FONE ILIM BR TOT - MULTI PON PROMO 0.00
11/01/2023 00:00;47989179532;ATIVACAO POS-PAGO;PLANO CONTROLE MAIS 13GB COMBO - CF - CM;CLRZ;202301;t;149,7;0;MOBILE;;OK;49.9;'89550532400039344004';P1;AUDIO_CONEXAO;;;;86366651260;PREMIUM;;;3;;PLANO CONTROLE MAIS 13GB COMBO
05/01/2023 00:00;0;COMISSOES ADICIONAIS;BONUS TV;CLRZ;202301;t;52,45;0;BONUS TV;;OK;104.9;'';P1;;;;;86366651260;PREMIUM;;;0,5;;CLARO TV MAIS BOX
05/01/2023 00:00;0;BANDA LARGA FIXA;VIRTUA 350 MB;CLRZ;202301;t;314,7;0;FT_COMISSIONAMENTO;;OK;104.9;'';P1;AUDIO_CONEXAO;;;;86366651260;PREMIUM;;;3;;BL 350M COMBINADO BWF PON FID
11/01/2023 00:00;47989179532;COMISSOES ADICIONAIS;PLUGIN COMBO MULTI;CLRZ;202301;t;17,46;0;PLUGIN COMBO MULTI;;OK;49.9;'';P1;AUDIO_CONEXAO;;;;86366651260;PREMIUM;;;0,35;;PLANO CONTROLE MAIS 13GB COMBO - CF
05/01/2023 00:00;0;COMISSOES ADICIONAIS;PLUGIN COMBO MULTI UR;CLRZ;202301;t;36,71;0;PLUGIN COMBO MULTI UR;;OK;104.9;'';P1;;;;;86366651260;PREMIUM;;;0,35;;VIRTUA 350 MB
05/01/2023 00:00;0;TV;CLARO TV MAIS BOX;CLRZ;202301;t;314,7;0;FT_COMISSIONAMENTO;;OK;104.9;'';P1;AUDIO_CONEXAO;;;;86366651260;PREMIUM;;;3;;CLARO STREAMING HD TVMAIS TOP VOZ STX
05/01/2023 00:00;0;COMISSOES ADICIONAIS;PLUGIN COMBO MULTI UR;CLRZ;202301;t;36,71;0;PLUGIN COMBO MULTI UR;;OK;104.9;'';P1;;;;;86366651260;PREMIUM;;;0,35;;CLARO TV MAIS BOX
06/01/2023 00:00;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;t;314,7;0;FT_COMISSIONAMENTO;;OK;104.9;'';P1;AUDIO_CONEXAO;;;;86366651740;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE BWF PON FID
05/01/2023 00:00;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;t;314,7;0;FT_COMISSIONAMENTO;;OK;104.9;'';P1;AUDIO_CONEXAO;;;;86366651910;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE BWF PON FID
06/01/2023 00:00;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;t;314,7;0;FT_COMISSIONAMENTO;;OK;104.9;'';P1;AUDIO_CONEXAO;;;;86366651928;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE BWF PON FID
11/01/2023 00:00;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;t;314,7;0;FT_COMISSIONAMENTO;;OK;104.9;'';P1;AUDIO_CONEXAO;;;;86366654269;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE FID
12/01/2023 00:00;0;COMISSOES ADICIONAIS;BONUS TV;CLRZ;202301;t;52,45;0;BONUS TV;;OK;104.9;'';P1;;;;;86366655702;PREMIUM;;;0,5;;CLARO TV MAIS BOX
