DATA_ATIVACAO;NUN_NTC;TIPO_OPERACAO;PLANO;COD_MOBILE;MES_REFERENCIA;VALIDO_COMISSAO;VALOR_COMISSAO;COD_IRREG;ARQUIVO;DATA_ESTORNO;PENDENCIA;VALOR_FRANQUIA;SIMCARD;COD_QUINZENA;STATUS_GED;NTC_ANTERIOR;PLANO_ANTERIOR;NUM_CHAMADO;CONTRATO_EBT_NET;CLASSIFICACAO_PGTO;FRANQUIA_ANTERIOR;VALOR_DELTA;VALOR_FATOR;DAT_DIGITALIZACAO;DSC_NOME_PLANO;NUM_FI
06/06/2023 00:00;47988346016;MIGRACAO PRE-POS;MIGRA PRE PARA POS - PLANO CONTROLE MAIS 13GB COMBO - CF - CM;CLRZ;202306;t;153,72;0;MOBILE;;OK;54.9;'89550532000365173017';P1;AUDIO_CONEXAO;;;;86366781317;ULTRA;;;2,8;;PLANO CONTROLE MAIS 13GB COMBO;114035949
03/06/2023 00:00;0;BANDA LARGA FIXA;VIRTUA 500 MB;CLRZ;202306;t;304,21;0;FT_COMISSIONAMENTO;;OK;104.9;'';P1;AUDIO_CONEXAO;;;;794102857689;ULTRA;;;2,9;;BL 500M SINGLE OU C/ FONE FID;170032096
07/06/2023 00:00;0;COMISSOES ADICIONAIS;PLUGIN COMBO MULTI UR;CLRZ;202306;t;10,5;0;PLUGIN COMBO MULTI UR;;OK;30;'';P1;;;;;86366781317;ULTRA;;;0,35;;FALE ILIMITADO BRASIL TOTAL;170030009
03/06/2023 00:00;48998166882;COMISSOES ADICIONAIS;PLUGIN COMBO MULTI;CLRZ;202306;t;73,46;0;PLUGIN COMBO MULTI;;OK;209.9;'';P1;AUDIO_CONEXAO;;;;278001785735;ULTRA;;;0,35;;PLANO CLARO POS MAIS 200GB COMBO - CF;114035949
06/06/2023 00:00;47988346016;COMISSOES ADICIONAIS;PLUGIN COMBO MULTI;CLRZ;202306;t;19,21;0;PLUGIN COMBO MULTI;;OK;54.9;'';P1;AUDIO_CONEXAO;;;;86366781317;ULTRA;;;0,35;;MIGRA PRE PARA POS - PLANO CONTROLE MAIS 13GB COMBO - CF;114035949
15/06/2023 00:00;42988365623;ATIVACAO POS-PAGO;PLANO CLARO POS MAIS 25GB COMBO - CF - CM;CLRZ;202306;t;209,72;0;MOBILE;;OK;74.9;'89550534420011246660';P1;AUDIO_CONEXAO;;;;331001002194;ULTRA;;;2,8;;PLANO CLARO POS MAIS 25GB COMBO;114035949
06/12/2022 00:00;0;ESTORNO REFERENTE 04/2023 P1;VIRTUA 250 MB;CLRZ;202306;t;-239,76;0;INAD_1_60_OK;;OK;0;'';P1;AUDIO_CONEXAO;;;;91380364889;ULTRA;;;3;;BL 250M SINGLE OU C/ FONE FID;170032096
15/06/2023 00:00;42988365623;COMISSOES ADICIONAIS;PLUGIN COMBO MULTI;CLRZ;202306;t;26,21;0;PLUGIN COMBO MULTI;;OK;74.9;'';P1;AUDIO_CONEXAO;;;;331001002194;ULTRA;;;0,35;;PLANO CLARO POS MAIS 25GB COMBO - CF;114035949
30/11/2022 00:00;0;ESTORNO REFERENTE 04/2023 P1;PLUGIN COMBO MULTI UR;CLRZ;202306;t;-16,61;0;INAD_3_60_OK;;OK;0;'';P1;;;;;236001025175;ULTRA;;;0,35;;CLARO TV MAIS BOX;170032096
01/06/2023 00:00;0;BANDA LARGA FIXA;VIRTUA 500 MB;CLRZ;202306;t;314,7;0;FT_COMISSIONAMENTO;;OK;104.9;'';P1;AUDIO_CONEXAO;;;;819001020101;ULTRA;;;3;;BL 500M SINGLE OU C/ FONE BWF PON FID;170032096
01/06/2023 00:00;0;BANDA LARGA FIXA;VIRTUA 125 MB;CLRZ;202306;t;246,21;0;FT_COMISSIONAMENTO;;OK;84.9;'';P1;AUDIO_CONEXAO;;;;749001444647;ULTRA;;;2,9;;BL 125M SINGLE OU C/ FONE BWF PON FID;170032096
