"DATA_ATIVACAO";"NUN_NTC";"TIPO_OPERACAO";"PLANO";"COD_MOBILE";"MES_REFERENCIA";"VALIDO_COMISSAO";"VALOR_COMISSAO";"COD_IRREG";"ARQUIVO";"DATA_ESTORNO";"PENDENCIA";"VALOR_FRANQUIA";"SIMCARD";"COD_QUINZENA";"STATUS_GED";"NTC_ANTERIOR";"PLANO_ANTERIOR";"NUM_CHAMADO";"CONTRATO_EBT_NET";"CLASSIFICACAO_PGTO";"FRANQUIA_ANTERIOR";"VALOR_DELTA";"VALOR_FATOR";"DAT_DIGITALIZACAO";"DSC_NOME_PLANO"
"2023-03-13 00:00:00";"0";"TROCA DE PLANO UR";"EQUIVALENCIA DE PLANO UR";"CLRZ";"202303";"f";"0";"30";"FT_COMISSIONAMENTO";"";"ATIVACAO REALIZADA DENTRO DE 45 DIAS";"0";"''";"P1";"AUDIO_CONEXAO";"";"";"";"379001238417";"PREMIUM";"104,9";"0";"3,5";"";"BL 250M NETFLIX SINGLE/FONE BWF PON FID"
"2023-03-03 00:00:00";"0";"TV";"CLARO TV MAIS BOX";"CLRZ";"202303";"f";"0";"75";"FT_COMISSIONAMENTO";"";"PONTO ADICIONAL NAO COMISSIONADO";"0";"''";"P1";"AUDIO_CONEXAO";"";"";"";"091380379258";"PREMIUM";"";"";"3";"";"CLARO STREAMING HD TVMAIS TOP VOZ"
"2023-03-14 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202303";"f";"0";"95";"FT_COMISSIONAMENTO";"";"SEM DOCUMENTACAO";"104.9";"''";"P1";"";"";"";"";"996375134002";"PREMIUM";"";"";"3";"";"BL 250M SINGLE OU C/ FONE FID"
"2023-03-02 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 125 MB";"CLRZ";"202303";"t";"254,7";"0";"FT_COMISSIONAMENTO";"";"OK";"84.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"996375128827";"PREMIUM";"";"";"3";"";"BL 125M SINGLE OU C/ FONE FID"
"2023-03-02 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202303";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"996375128169";"PREMIUM";"";"";"3";"";"BL 250M SINGLE OU C/ FONE FID"
"2023-03-02 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202303";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"093301450271";"PREMIUM";"";"";"3";"";"BL 250M SINGLE OU C/ FONE FID"
"2023-03-01 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 500 MB";"CLRZ";"202303";"t";"434,7";"0";"FT_COMISSIONAMENTO";"";"OK";"144.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"996375126336";"PREMIUM";"";"";"3";"";"BL 500M SINGLE OU C/ FONE FID"
"2023-03-06 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202303";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"088624603243";"PREMIUM";"";"";"3";"";"BL 250M SINGLE OU C/ FONE FID"
"2023-03-14 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202303";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"996375133421";"PREMIUM";"";"";"3";"";"BL 250M SINGLE OU C/ FONE FID"
"2023-03-14 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202303";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"091380392297";"PREMIUM";"";"";"3";"";"BL 250M SINGLE OU C/ FONE FID"
"2023-03-11 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202303";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"091380391630";"PREMIUM";"";"";"3";"";"BL 250M SINGLE OU C/ FONE FID"
"2023-03-11 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202303";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"379001238417";"PREMIUM";"";"";"3";"";"BL 250M SINGLE OU C/ FONE BWF PON FID"
"2023-03-13 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202303";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"749001430611";"PREMIUM";"";"";"3";"";"BL 250M SINGLE OU C/ FONE BWF PON FID"
"2023-03-07 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202303";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"086366705165";"PREMIUM";"";"";"3";"";"BL 250M SINGLE OU C/ FONE BWF PON FID"
"2023-03-07 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202303";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"203001327800";"PREMIUM";"";"";"3";"";"BL 250M SINGLE OU C/ FONE BWF PON FID"
"2023-03-14 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 125 MB";"CLRZ";"202303";"t";"254,7";"0";"FT_COMISSIONAMENTO";"";"OK";"84.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"996375133642";"PREMIUM";"";"";"3";"";"BL 125M SINGLE OU C/ FONE FID"
"2023-03-11 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202303";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"088624608911";"PREMIUM";"";"";"3";"";"BL 250M SINGLE OU C/ FONE FID"
"2022-11-25 00:00:00";"0";"ESTORNO";"VIRTUA 250 MB";"CLRZ";"202303";"t";"-149,85";"0";"CANCELAMENTO 120 DIAS";"";"OK";"0";"''";"P1";"AUDIO_CONEXAO";"";"";"";"091380362657";"PREMIUM";"";"";"3";"";"BL 250M SINGLE OU C/ FONE FID"
"2023-03-02 00:00:00";"0";"FONE FIXO";"FALE ILIMITADO BRASIL TOTAL";"CLRZ";"202303";"t";"90";"0";"FT_COMISSIONAMENTO";"";"OK";"30";"''";"P1";"AUDIO_CONEXAO";"";"";"";"996375040008";"PREMIUM";"";"";"3";"";"FONE ILIM BR TOTAL 30.00"
"2023-03-03 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202303";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"379001238018";"PREMIUM";"";"";"3";"";"BL 250M SINGLE OU C/ FONE BWF PON FID"
"2023-03-03 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 50 MB";"CLRZ";"202303";"t";"165";"0";"FT_COMISSIONAMENTO";"";"OK";"55";"''";"P1";"AUDIO_CONEXAO";"";"";"";"093301450352";"PREMIUM";"";"";"3";"";"BL 50M SINGLE OU COM VOZ PAP FID"
"2023-03-06 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202303";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"088624603871";"PREMIUM";"";"";"3";"";"BL 250M SINGLE OU C/ FONE FID"
"2023-03-08 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 500 MB";"CLRZ";"202303";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"570001041941";"PREMIUM";"";"";"3";"";"BL 500M SINGLE OU C/ FONE BWF PON FID"
