"DATA_ATIVACAO";"NUN_NTC";"TIPO_OPERACAO";"PLANO";"COD_MOBILE";"MES_REFERENCIA";"VALIDO_COMISSAO";"VALOR_COMISSAO";"COD_IRREG";"ARQUIVO";"DATA_ESTORNO";"PENDENCIA";"VALOR_FRANQUIA";"SIMCARD";"COD_QUINZENA";"STATUS_GED";"NTC_ANTERIOR";"PLANO_ANTERIOR";"NUM_CHAMADO";"CONTRATO_EBT_NET";"CLASSIFICACAO_PGTO";"FRANQUIA_ANTERIOR";"VALOR_DELTA";"VALOR_FATOR";"DAT_DIGITALIZACAO";"DSC_NOME_PLANO";"NUM_FI"
"2023-07-05 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202307";"t";"304,21";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"749001449827";"ULTRA";"";"";"2,9";"";"BL 250M SINGLE OU C/ FONE BWF PON FID";"170034215"
"2023-07-03 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202307";"t";"304,21";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"088624690138";"ULTRA";"";"";"2,9";"";"BL 250M SINGLE OU C/ FONE FID";"170034215"
"2023-07-06 00:00:00";"0";"TROCA DE PLANO UR";"EQUIVALENCIA DE PLANO UR";"CLRZ";"202307";"f";"0";"30";"FT_COMISSIONAMENTO";"";"ATIVACAO REALIZADA DENTRO DE 45 DIAS";"0";"''";"P1";"SIM - DOCUMENTO";"";"";"";"749001449606";"ULTRA";"104,9";"0";"";"";"BL 250M COMBINADO BWF PON FID";""
"2023-07-07 00:00:00";"0";"TV";"CLARO TV MAIS BOX";"CLRZ";"202307";"t";"293,72";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"749001450230";"ULTRA";"";"";"2,8";"";"CLARO STREAMING HD TVMAIS TOP VOZ STX";"170034215"
"2023-07-12 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 500 MB";"CLRZ";"202307";"f";"0";"95";"FT_COMISSIONAMENTO";"";"SEM DOCUMENTACAO";"174.99";"''";"P1";"";"";"";"";"927001000302";"ULTRA";"";"";"3";"";"BL 500M SINGLE OU C/ FONE BWF PON FID";""
"2023-07-04 00:00:00";"0";"FONE FIXO";"FALE ILIMITADO BRASIL TOTAL";"CLRZ";"202307";"t";"84";"0";"FT_COMISSIONAMENTO";"";"OK";"30";"''";"P1";"AUDIO_CONEXAO";"";"";"";"531010601873";"ULTRA";"";"";"2,8";"";"FONE ILIM BR TOT 30.00";"170026102"
"2023-07-04 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202307";"t";"304,21";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"086366799852";"ULTRA";"";"";"2,9";"";"BL 250M SINGLE OU C/ FONE BWF PON FID";"170034215"
"2023-07-06 00:00:00";"0";"TV";"CLARO TV MAIS BOX";"CLRZ";"202307";"t";"293,72";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"203001344291";"ULTRA";"";"";"2,8";"";"CLARO STREAMING HD TVMAIS TOP VOZ STX";"170034215"
"2023-07-07 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202307";"t";"304,21";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"088624693986";"ULTRA";"";"";"2,9";"";"BL 250M SINGLE OU C/ FONE FID";"170034215"
"2023-07-06 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 500 MB";"CLRZ";"202307";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"348001019356";"ULTRA";"";"";"3";"";"BL 500M SINGLE OU C/ FONE BWF PON FID";"170034215"
"2023-07-07 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 125 MB";"CLRZ";"202307";"t";"246,21";"0";"FT_COMISSIONAMENTO";"";"OK";"84.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"749001450230";"ULTRA";"";"";"2,9";"";"BL 125M COMBINADO BWF PON FID";"170034215"
"2023-07-07 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202307";"t";"304,21";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"749001450272";"ULTRA";"";"";"2,9";"";"BL 250M SINGLE OU C/ FONE BWF PON FID";"170034215"
"2023-07-14 00:00:00";"0";"TROCA DE PLANO UR";"EQUIVALENCIA DE PLANO UR";"CLRZ";"202307";"f";"0";"30";"FT_COMISSIONAMENTO";"";"ATIVACAO REALIZADA DENTRO DE 45 DIAS";"0";"''";"P1";"SIM - DOCUMENTO";"";"";"";"749001451317";"ULTRA";"104,9";"0";"";"";"BL 250M COMBINADO BWF PON FID";""
"2023-07-03 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202307";"t";"304,18";"0";"FT_COMISSIONAMENTO";"";"OK";"104.89";"''";"P1";"AUDIO_CONEXAO";"";"";"";"086366798872";"ULTRA";"";"";"2,9";"";"BL 250M SINGLE/FONE AQS BS BWF PON FID";"170034215"
"2023-07-04 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 500 MB";"CLRZ";"202307";"t";"314,7";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P1";"AUDIO_CONEXAO";"";"";"";"089341549800";"ULTRA";"";"";"3";"";"BL 500M SINGLE OU C/ FONE FID";"170034215"
