DATA_ATIVACAO;NUN_NTC;TIPO_OPERACAO;PLANO;COD_MOBILE;MES_REFERENCIA;VALIDO_COMISSAO;VALOR_COMISSAO;COD_IRREG;ARQUIVO;DATA_ESTORNO;PENDENCIA;VALOR_FRANQUIA;SIMCARD;COD_QUINZENA;STATUS_GED;NTC_ANTERIOR;PLANO_ANTERIOR;NUM_CHAMADO;CONTRATO_EBT_NET;;CLASSIFICACAO_PGTO;FRANQUIA_ANTERIOR;VALOR_DELTA;VALOR_FATOR;DAT_DIGITALIZACAO;DSC_NOME_PLANO;;;;;
44937;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;f;0;112;FT_COMISSIONAMENTO;;CARROSSEL;0;'';P2;AUDIO_CONEXAO;;;;86366655583;;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE BWF PON FID;;;;;#VALOR!
44942;0;BANDA LARGA FIXA;VIRTUA 300 MB;CLRZ;202301;t;345;0;FT_COMISSIONAMENTO;;OK;115;'';P2;AUDIO_CONEXAO;;;;86366659490;;PREMIUM;;;3;;BL 400M EMP PME PON CNPJ FID;;;;;
44946;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;t;315;0;FT_COMISSIONAMENTO;;OK;104.9;'';P2;AUDIO_CONEXAO;;;;86366665112;;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE FID;;;;;
44949;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;t;315;0;FT_COMISSIONAMENTO;;OK;104.9;'';P2;AUDIO_CONEXAO;;;;86366666143;;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE BWF PON FID;;;;;
44950;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;t;315;0;FT_COMISSIONAMENTO;;OK;104.9;'';P2;AUDIO_CONEXAO;;;;86366667824;;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE FID;;;;;
44951;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;t;315;0;FT_COMISSIONAMENTO;;OK;104.9;'';P2;AUDIO_CONEXAO;;;;86366667875;;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE BWF PON FID;;;;;
44952;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;f;0;112;FT_COMISSIONAMENTO;;CARROSSEL;0;'';P2;AUDIO_CONEXAO;;;;86366669118;;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE BWF PON FID;;;;;
44953;0;BANDA LARGA FIXA;VIRTUA 500 MB;CLRZ;202301;t;435;0;FT_COMISSIONAMENTO;;OK;144.9;'';P2;AUDIO_CONEXAO;;;;86366671007;;PREMIUM;;;3;;BL 500M SINGLE OU C/ FONE BWF PON FID;;;;;
44954;0;BANDA LARGA FIXA;VIRTUA 500 MB;CLRZ;202301;f;0;112;FT_COMISSIONAMENTO;;CARROSSEL;0;'';P2;AUDIO_CONEXAO;;;;86366671830;;PREMIUM;;;3;;BL 500M SINGLE OU C/ FONE BWF PON FID;;;;;
44956;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;t;315;0;FT_COMISSIONAMENTO;;OK;104.9;'';P2;AUDIO_CONEXAO;;;;86366673107;;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE BWF PON FID;;;;;
44942;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202301;t;315;0;FT_COMISSIONAMENTO;;OK;104.9;'';P2;AUDIO_CONEXAO;;;;88624558760;;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE FID;;;;;
44944;0;BANDA LARGA FIXA;VIRTUA 300 MB;CLRZ;202301;t;345;0;FT_COMISSIONAMENTO;;OK;115;'';P2;AUDIO_CONEXAO;;;;88624563209;;PREMIUM;;;3;;BL 400M EMP PME CNPJ FID;;;;;
