DATA_ATIVACAO;NUN_NTC;TIPO_OPERACAO;PLANO;COD_MOBILE;MES_REFERENCIA;VALIDO_COMISSAO;VALOR_COMISSAO;COD_IRREG;ARQUIVO;DATA_ESTORNO;PENDENCIA;VALOR_FRANQUIA;SIMCARD;COD_QUINZENA;STATUS_GED;NTC_ANTERIOR;PLANO_ANTERIOR;NUM_CHAMADO;CONTRATO_EBT_NET;CLASSIFICACAO_PGTO;FRANQUIA_ANTERIOR;VALOR_DELTA;VALOR_FATOR;DAT_DIGITALIZACAO;DSC_NOME_PLANO
13/03/2023 00:00;0;ESTORNO;VIRTUA 250 MB;CLRZ;202303;t;-314,7;0;CARROSSEL;;OK;0;'';P2;AUDIO_CONEXAO;;;;86366710410;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE FID
05/01/2023 00:00;0;ESTORNO;FALE ILIMITADO BRASIL TOTAL;CLRZ;202303;t;-54;0;CANCELAMENTO 90 DIAS;;OK;0;'';P2;AUDIO_CONEXAO;;;;91380372709;PREMIUM;;;3;;FONE ILIM BR TOTAL 30.00
22/03/2023 00:00;45988248389;COMISSOES ADICIONAIS;PLUGIN CIDADES ACELERACAO;CLRZ;202303;t;17,46;0;PLUGIN CIDADES ACELERACAO;;OK;49.9;'';P2;AUDIO_CONEXAO;;;;6,41011E+11;PREMIUM;;;0,35;;PLANO CONTROLE MAIS 13GB COMBO - CF - CM
14/03/2023 00:00;0;ESTORNO;VIRTUA 350 MB;CLRZ;202303;t;-314,7;0;CARROSSEL;;OK;0;'';P2;AUDIO_CONEXAO;;;;86366712030;PREMIUM;;;3;;BL 350M COMBINADO BWF PON FID
22/03/2023 00:00;45988248389;COMISSOES ADICIONAIS;PLUGIN COMBO MULTI;CLRZ;202303;t;17,46;0;PLUGIN COMBO MULTI;;OK;49.9;'';P2;AUDIO_CONEXAO;;;;6,41011E+11;PREMIUM;;;0,35;;PLANO CONTROLE MAIS 13GB COMBO - CF
15/03/2023 00:00;0;ESTORNO;VIRTUA 250 MB;CLRZ;202303;t;-314,7;0;CARROSSEL;;OK;0;'';P2;AUDIO_CONEXAO;;;;86366714199;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE BWF PON FID
15/03/2023 00:00;0;ESTORNO;VIRTUA 250 MB;CLRZ;202303;t;-314,7;0;CANCELAMENTO 30 DIAS;;OK;0;'';P2;AUDIO_CONEXAO;;;;9,96375E+11;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE FID
22/03/2023 00:00;0;COMISSOES ADICIONAIS;PLUGIN CIDADES ACELERACAO;CLRZ;202303;t;29,72;0;PLUGIN CIDADES ACELERACAO;;OK;84.9;'';P2;AUDIO_CONEXAO;;;;6,41011E+11;PREMIUM;;;0,35;;VIRTUA 250 MB
22/03/2023 00:00;0;COMISSOES ADICIONAIS;PLUGIN CIDADES ACELERACAO;CLRZ;202303;t;36,71;0;PLUGIN CIDADES ACELERACAO;;OK;104.9;'';P2;AUDIO_CONEXAO;;;;2,13001E+11;PREMIUM;;;0,35;;VIRTUA 500 MB
29/03/2023 00:00;0;COMISSOES ADICIONAIS;PLUGIN CIDADES ACELERACAO;CLRZ;202303;t;36,71;0;PLUGIN CIDADES ACELERACAO;;OK;104.9;'';P2;AUDIO_CONEXAO;;;;2,13001E+11;PREMIUM;;;0,35;;VIRTUA 500 MB
24/03/2023 00:00;0;COMISSOES ADICIONAIS;PLUGIN CIDADES ACELERACAO;CLRZ;202303;t;33,22;0;PLUGIN CIDADES ACELERACAO;;OK;94.9;'';P2;AUDIO_CONEXAO;;;;2,13001E+11;PREMIUM;;;0,35;;VIRTUA 250 MB
28/03/2023 00:00;0;COMISSOES ADICIONAIS;PLUGIN CIDADES ACELERACAO;CLRZ;202303;t;33,22;0;PLUGIN CIDADES ACELERACAO;;OK;94.9;'';P2;AUDIO_CONEXAO;;;;2,13001E+11;PREMIUM;;;0,35;;VIRTUA 250 MB
30/03/2023 00:00;43988615974;COMISSOES ADICIONAIS;PLUGIN COMBO MULTI;CLRZ;202303;t;17,46;0;PLUGIN COMBO MULTI;;OK;49.9;'';P2;AUDIO_CONEXAO;;;;9,96375E+11;PREMIUM;;;0,35;;PLANO CONTROLE MAIS 13GB COMBO - CF
17/03/2023 00:00;43988814141;COMISSOES ADICIONAIS;PLUGIN COMBO MULTI;CLRZ;202303;t;17,46;0;PLUGIN COMBO MULTI;;OK;49.9;'';P2;AUDIO_CONEXAO;;;;9,96375E+11;PREMIUM;;;0,35;;PLANO CONTROLE MAIS 13GB COMBO - CF
28/03/2023 00:00;0;COMISSOES ADICIONAIS;BONUS TV;CLRZ;202303;t;52,45;0;BONUS TV;;OK;104.9;'';P2;;;;;86366725638;PREMIUM;;;0,5;;CLARO TV MAIS BOX
20/03/2023 00:00;0;COMISSOES ADICIONAIS;BONUS TV;CLRZ;202303;t;52,45;0;BONUS TV;;OK;104.9;'';P2;;;;;88624615721;PREMIUM;;;0,5;;CLARO TV MAIS BOX
19/03/2023 00:00;0;COMISSOES ADICIONAIS;BONUS TV;CLRZ;202303;t;52,45;0;BONUS TV;;OK;104.9;'';P2;;;;;89341520712;PREMIUM;;;0,5;;CLARO TV MAIS BOX
16/03/2023 00:00;0;COMISSOES ADICIONAIS;BONUS TV;CLRZ;202303;t;52,45;0;BONUS TV;;OK;104.9;'';P2;;;;;89341529760;PREMIUM;;;0,5;;CLARO TV MAIS BOX
17/03/2023 00:00;0;COMISSOES ADICIONAIS;BONUS TV;CLRZ;202303;t;52,45;0;BONUS TV;;OK;104.9;'';P2;;;;;7,24001E+11;PREMIUM;;;0,5;;CLARO TV MAIS BOX
22/03/2023 00:00;0;COMISSOES ADICIONAIS;BONUS TV;CLRZ;202303;t;52,45;0;BONUS TV;;OK;104.9;'';P2;;;;;7,24001E+11;PREMIUM;;;0,5;;CLARO TV MAIS BOX
31/03/2023 00:00;0;COMISSOES ADICIONAIS;BONUS TV;CLRZ;202303;t;52,45;0;BONUS TV;;OK;104.9;'';P2;;;;;8,19001E+11;PREMIUM;;;0,5;;CLARO TV MAIS BOX
25/03/2023 00:00;0;COMISSOES ADICIONAIS;BONUS TV;CLRZ;202303;t;52,45;0;BONUS TV;;OK;104.9;'';P2;;;;;8,84623E+11;PREMIUM;;;0,5;;CLARO TV MAIS BOX
31/03/2023 00:00;0;COMISSOES ADICIONAIS;BONUS TV;CLRZ;202303;t;52,45;0;BONUS TV;;OK;104.9;'';P2;;;;;8,84623E+11;PREMIUM;;;0,5;;CLARO TV MAIS BOX
14/03/2023 00:00;0;ESTORNO;CLARO TV MAIS BOX;CLRZ;202303;t;-314,7;0;CARROSSEL;;OK;0;'';P2;AUDIO_CONEXAO;;;;86366712030;PREMIUM;;;3;;CLARO STREAMING HD TVMAIS TOP VOZ STX
24/02/2023 00:00;0;ESTORNO;VIRTUA 500 MB;CLRZ;202303;t;-314,7;0;CARROSSEL;;OK;0;'';P2;AUDIO_CONEXAO;;;;7,24001E+11;PREMIUM;;;3;;BL 500M SINGLE OU C/ FONE BWF PON FID
29/03/2023 00:00;0;COMISSOES ADICIONAIS;BONUS TV;CLRZ;202303;t;52,45;0;BONUS TV;;OK;104.9;'';P2;;;;;9,96374E+11;PREMIUM;;;0,5;;CLARO TV MAIS BOX
23/03/2023 00:00;0;COMISSOES ADICIONAIS;BONUS TV;CLRZ;202303;t;52,45;0;BONUS TV;;OK;104.9;'';P2;;;;;9,96375E+11;PREMIUM;;;0,5;;CLARO TV MAIS BOX
24/03/2023 00:00;0;COMISSOES ADICIONAIS;BONUS TV;CLRZ;202303;t;52,45;0;BONUS TV;;OK;104.9;'';P2;;;;;9,96375E+11;PREMIUM;;;0,5;;CLARO TV MAIS BOX
28/03/2023 00:00;0;COMISSOES ADICIONAIS;BONUS TV;CLRZ;202303;t;52,45;0;BONUS TV;;OK;104.9;'';P2;;;;;9,96375E+11;PREMIUM;;;0,5;;CLARO TV MAIS BOX
14/03/2023 00:00;0;ESTORNO;BONUS TV;CLRZ;202303;t;-52,45;0;CARROSSEL;;OK;0;'';P2;;;;;86366712030;PREMIUM;;;0,5;;CLARO TV MAIS BOX
28/03/2023 00:00;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202303;f;0;112;FT_COMISSIONAMENTO;;CARROSSEL;0;'';P2;AUDIO_CONEXAO;;;;86366725220;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE BWF PON FID
17/03/2023 00:00;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202303;t;284,7;0;FT_COMISSIONAMENTO;;OK;94.9;'';P2;AUDIO_CONEXAO;;;;2,13001E+11;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE BWF PON FID
17/03/2023 00:00;0;TV;CLARO TV MAIS BOX;CLRZ;202303;t;314,7;0;FT_COMISSIONAMENTO;;OK;104.9;'';P2;AUDIO_CONEXAO;;;;7,24001E+11;PREMIUM;;;3;;CLARO STREAMING HD TVMAIS TOP VOZ STX
18/03/2023 00:00;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202303;t;419,7;0;FT_COMISSIONAMENTO;;OK;139.9;'';P2;AUDIO_CONEXAO;;;;9,96375E+11;PREMIUM;;;3;;BL 250M NETFLIX FID
18/03/2023 00:00;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202303;t;314,7;0;FT_COMISSIONAMENTO;;OK;104.9;'';P2;AUDIO_CONEXAO;;;;9,96375E+11;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE FID
18/03/2023 00:00;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202303;t;314,67;0;FT_COMISSIONAMENTO;;OK;104.89;'';P2;AUDIO_CONEXAO;;;;9,96375E+11;PREMIUM;;;3;;BL 250M AQS BS FID
24/03/2023 00:00;0;BANDA LARGA FIXA;VIRTUA 250 MB;CLRZ;202303;t;284,7;0;FT_COMISSIONAMENTO;;OK;94.9;'';P2;AUDIO_CONEXAO;;;;2,13001E+11;PREMIUM;;;3;;BL 250M SINGLE OU C/ FONE BWF PON FID
24/03/2023 00:00;0;BANDA LARGA FIXA;VIRTUA 125 MB;CLRZ;202303;t;254,97;0;FT_COMISSIONAMENTO;;OK;84.99;'';P2;AUDIO_CONEXAO;;;;9,96375E+11;PREMIUM;;;3;;BL 125M BASE RENT FID
14/03/2023 00:00;0;FONE FIXO;FALE ILIMITADO BRASIL TOTAL;CLRZ;202303;f;0;407;FT_COMISSIONAMENTO;;PRODUTO GRATUITO;0;'';P2;AUDIO_CONEXAO;;;;88624601623;PREMIUM;;;3;;FONE ILIM BR TOT 30.00
22/03/2023 00:00;0;BANDA LARGA FIXA;VIRTUA 500 MB;CLRZ;202303;t;434,7;0;FT_COMISSIONAMENTO;;OK;144.9;'';P2;AUDIO_CONEXAO;;;;86366719867;PREMIUM;;;3;;BL 500M SINGLE OU C/ FONE BWF PON FID
