"DATA_ATIVACAO";"NUN_NTC";"TIPO_OPERACAO";"PLANO";"COD_MOBILE";"MES_REFERENCIA";"VALIDO_COMISSAO";"VALOR_COMISSAO";"COD_IRREG";"ARQUIVO";"DATA_ESTORNO";"PENDENCIA";"VALOR_FRANQUIA";"SIMCARD";"COD_QUINZENA";"STATUS_GED";"NTC_ANTERIOR";"PLANO_ANTERIOR";"NUM_CHAMADO";"CONTRATO_EBT_NET";"CLASSIFICACAO_PGTO";"FRANQUIA_ANTERIOR";"VALOR_DELTA";"VALOR_FATOR";"DAT_DIGITALIZACAO";"DSC_NOME_PLANO";"NUM_FI"
"2023-06-10 00:00:00";"0";"ESTORNO";"VIRTUA 500 MB";"CLRZ";"202309";"t";"-157,35";"0";"CANCELAMENTO 120 DIAS";"";"OK";"0";"''";"P2";"AUDIO_CONEXAO";"";"";"";"089341545120";"ULTRA";"";"";"3";"";"BL 500M SINGLE OU C/ FONE FID";"170048859"
"2023-02-27 00:00:00";"0";"ESTORNO REFERENTE 07/2023 P2";"VIRTUA 600 MB";"CLRZ";"202309";"t";"-202,5";"0";"INAD_3_60_OK";"";"OK";"0";"''";"P2";"AUDIO_CONEXAO";"";"";"";"996375122799";"ULTRA";"";"";"3";"";"BL 600M EMP PME CNPJ FID";"170048859"
"2023-09-22 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202309";"t";"304,21";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P2";"AUDIO_CONEXAO";"";"";"";"086366854462";"ULTRA";"";"";"2,9";"";"BL 250M SINGLE OU C/ FONE BWF PON FID";"170048859"
"2023-09-14 00:00:00";"0";"ESTORNO";"VIRTUA 350 MB";"CLRZ";"202309";"t";"-304,21";"0";"CARROSSEL";"";"OK";"0";"''";"P2";"AUDIO_CONEXAO";"";"";"";"278001811990";"ULTRA";"";"";"2,9";"";"BL 350M COMBINADO FID";"170048859"
"2023-09-21 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 250 MB";"CLRZ";"202309";"t";"304,18";"0";"FT_COMISSIONAMENTO";"";"OK";"104.89";"''";"P2";"AUDIO_CONEXAO";"";"";"";"996375213948";"ULTRA";"";"";"2,9";"";"BL 250M AQS BS FID";"170048859"
"2023-09-21 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 350 MB";"CLRZ";"202309";"t";"304,21";"0";"FT_COMISSIONAMENTO";"";"OK";"104.9";"''";"P2";"AUDIO_CONEXAO";"";"";"";"379001251570";"ULTRA";"";"";"2,9";"";"BL 350M SINGLE OU C/ FONE BWF PON FID";"170048859"
"2023-06-14 00:00:00";"0";"ESTORNO";"VIRTUA 125 MB";"CLRZ";"202309";"t";"-123,1";"0";"CANCELAMENTO 120 DIAS";"";"OK";"0";"''";"P2";"AUDIO_CONEXAO";"";"";"";"996375171730";"ULTRA";"";"";"2,9";"";"BL 125M COMBINADO FID";"170048859"
"2023-05-26 00:00:00";"0";"ESTORNO";"VIRTUA 125 MB";"CLRZ";"202309";"t";"-144,33";"0";"CANCELAMENTO 120 DIAS";"";"OK";"0";"''";"P2";"AUDIO_CONEXAO";"";"";"";"379001243011";"ULTRA";"";"";"3,4";"";"BL 125M SINGLE OU C/ FONE BWF PON FID";"170048859"
"2023-05-24 00:00:00";"0";"ESTORNO";"VIRTUA 250 MB";"CLRZ";"202309";"t";"-178,33";"0";"CANCELAMENTO 120 DIAS";"";"OK";"0";"''";"P2";"AUDIO_CONEXAO";"";"";"";"204001000939";"ULTRA";"";"";"3,4";"";"BL 250M SINGLE OU C/ FONE BWF PON FID";"170048859"
"2023-03-17 00:00:00";"0";"ESTORNO REFERENTE 07/2023 P2";"VIRTUA 250 MB";"CLRZ";"202309";"t";"-142,35";"0";"INAD_3_60_OK";"";"OK";"0";"''";"P2";"AUDIO_CONEXAO";"";"";"";"724001011128";"ULTRA";"";"";"3";"";"BL 250M SINGLE OU C/ FONE BWF PON FID";"170048859"
"2023-09-20 00:00:00";"0";"BANDA LARGA FIXA";"VIRTUA 500 MB";"CLRZ";"202309";"t";"314,67";"0";"FT_COMISSIONAMENTO";"";"OK";"104.89";"''";"P2";"AUDIO_CONEXAO";"";"";"";"068001169045";"ULTRA";"";"";"3";"";"BL 500M SINGLE/FONE AQS BS BWF PON FID";"170048859"
